Month,addr_state,loan_status
January,AK,Fully Paid
January,AL,Charged Off
January,AL,Fully Paid
January,AR,Charged Off
January,AR,Fully Paid
January,AZ,Charged Off
January,AZ,Fully Paid
January,CA,Charged Off
January,CA,Fully Paid
January,CO,Charged Off
January,CO,Fully Paid
January,CT,Charged Off
January,CT,Fully Paid
January,DC,Charged Off
January,DC,Fully Paid
January,DE,Fully Paid
January,FL,Charged Off
January,FL,Fully Paid
January,GA,Charged Off
January,GA,Fully Paid
January,HI,Fully Paid
January,IA,Fully Paid
January,IL,Charged Off
January,IL,Fully Paid
January,KS,Charged Off
January,KS,Fully Paid
January,KY,Charged Off
January,KY,Fully Paid
January,LA,Fully Paid
January,MA,Charged Off
January,MA,Fully Paid
January,MD,Charged Off
January,MD,Fully Paid
January,MI,Charged Off
January,MI,Fully Paid
January,MN,Charged Off
January,MN,Fully Paid
January,MO,Charged Off
January,MO,Fully Paid
January,MS,Fully Paid
January,MT,Fully Paid
January,NC,Charged Off
January,NC,Fully Paid
January,NH,Charged Off
January,NH,Fully Paid
January,NJ,Charged Off
January,NJ,Fully Paid
January,NM,Fully Paid
January,NV,Charged Off
January,NV,Fully Paid
January,NY,Charged Off
January,NY,Fully Paid
January,OH,Charged Off
January,OH,Fully Paid
January,OK,Charged Off
January,OK,Fully Paid
January,OR,Charged Off
January,OR,Fully Paid
January,PA,Charged Off
January,PA,Fully Paid
January,RI,Charged Off
January,RI,Fully Paid
January,SC,Charged Off
January,SC,Fully Paid
January,SD,Fully Paid
January,TX,Charged Off
January,TX,Fully Paid
January,UT,Charged Off
January,UT,Fully Paid
January,VA,Charged Off
January,VA,Fully Paid
January,VT,Fully Paid
January,WA,Charged Off
January,WA,Fully Paid
January,WI,Charged Off
January,WI,Fully Paid
January,WV,Charged Off
January,WV,Fully Paid
January,WY,Fully Paid
February,AK,Fully Paid
February,AL,Charged Off
February,AL,Fully Paid
February,AR,Fully Paid
February,AZ,Charged Off
February,AZ,Fully Paid
February,CA,Charged Off
February,CA,Fully Paid
February,CO,Charged Off
February,CO,Fully Paid
February,CT,Charged Off
February,CT,Fully Paid
February,DC,Charged Off
February,DC,Fully Paid
February,DE,Charged Off
February,DE,Fully Paid
February,FL,Charged Off
February,FL,Fully Paid
February,GA,Charged Off
February,GA,Fully Paid
February,HI,Charged Off
February,HI,Fully Paid
February,IA,Fully Paid
February,ID,Charged Off
