Year,home_ownership,Sum of last_pymnt_amnt
,MORTGAGE,0
,OWN,0
,RENT,0
2008,MORTGAGE,288916.07
2008,OWN,32176.33
2008,RENT,305091.16
2009,MORTGAGE,1004336.37
2009,OTHER,42458.17
2009,OWN,138046.24
2009,RENT,995819.78
2010,MORTGAGE,2740956.48
2010,NONE,219.56
2010,OTHER,71496.45
2010,OWN,1297198.51
2010,RENT,2574417.42
2011,MORTGAGE,10093057.32
2011,NONE,313.59
2011,OTHER,47099.2
2011,OWN,1569648.89
2011,RENT,7633163.47
2012,MORTGAGE,15830774.45
2012,OTHER,11621.28
2012,OWN,2336344.28
2012,RENT,12827404.82
2013,MORTGAGE,14023609.82
2013,OWN,1590372.38
2013,RENT,9376122.54
2014,MORTGAGE,8462230.21
2014,OWN,816719.56
2014,RENT,5466121.88
2015,MORTGAGE,3054183
2015,OTHER,564.1
2015,OWN,360089.13
2015,RENT,2018340.79
2016,MORTGAGE,807482.09
2016,OWN,88372.12
2016,RENT,490171.23
